Gender,Customer_Type,Age,Type_of_Travel,Class,Flight_Distance,Inflight_wifi_service,Departure_Arrival_time_convenient,Ease_of_Online_booking,Gate_location,Food_and_drink,Online_boarding,Seat_comfort,Inflight_entertainment,On_board_service,Leg_room_service,Baggage_handling,Checkin_service,Inflight_service,Cleanliness,Departure_Delay_in_Minutes,Arrival_Delay_in_Minutes,satisfaction
Male,disloyal Customer,48,Business travel,Eco,990,3,2,2,3,4,2,4,4,2,1,5,4,5,4,3,0,neutral or dissatisfied
Male,Loyal Customer,49,Business travel,Business,89,5,5,5,5,3,4,5,5,5,5,5,3,5,5,0,0,satisfied
Female,Loyal Customer,60,Business travel,Business,3913,2,2,2,2,3,4,5,2,2,2,2,3,2,4,22,0,satisfied
Female,Loyal Customer,39,Business travel,Business,147,1,1,1,1,1,4,3,4,4,4,3,1,4,5,0,0,satisfied
Female,Loyal Customer,31,Business travel,Business,1806,2,2,2,2,2,2,2,2,3,5,4,4,5,2,0,0,satisfied
Male,disloyal Customer,22,Business travel,Eco,1142,2,2,2,3,4,2,4,4,3,5,5,3,4,4,6,0,neutral or dissatisfied
Female,Loyal Customer,55,Business travel,Business,227,4,4,4,4,3,4,4,4,4,4,4,3,4,4,7,1,satisfied
Male,Loyal Customer,24,Business travel,Business,549,2,2,3,2,5,5,5,5,3,3,3,1,5,5,0,1,satisfied
Female,Loyal Customer,48,Business travel,Business,2400,4,4,4,4,3,5,5,4,4,4,4,3,4,5,5,0,satisfied
Male,Loyal Customer,40,Business travel,Business,3454,3,3,3,3,2,4,4,4,4,4,4,3,4,3,20,0,satisfied
Female,Loyal Customer,53,Business travel,Business,1481,5,5,5,5,3,5,4,4,4,4,4,4,4,3,0,0,satisfied
Female,Loyal Customer,57,Personal Travel,Eco,544,3,3,3,4,3,1,5,5,5,3,5,2,5,1,0,6,neutral or dissatisfied
Female,Loyal Customer,36,Personal Travel,Eco,859,4,4,5,2,4,5,4,4,5,5,4,4,5,4,0,0,neutral or dissatisfied
Male,Loyal Customer,54,Business travel,Business,1649,3,3,3,3,4,4,4,4,4,4,4,3,4,5,27,41,satisfied
Female,Loyal Customer,25,Personal Travel,Eco,951,3,3,3,3,3,3,3,3,4,3,3,4,1,3,0,0,neutral or dissatisfied
Female,Loyal Customer,63,Business travel,Business,944,3,4,4,4,4,4,4,3,3,3,3,4,3,4,0,0,neutral or dissatisfied
Male,disloyal Customer,29,Business travel,Eco,771,1,1,1,1,5,1,3,5,2,5,2,1,1,5,83,76,neutral or dissatisfied
Male,Loyal Customer,34,Business travel,Business,2813,0,0,0,3,2,4,5,2,2,4,4,4,2,4,0,0,satisfied
Male,Loyal Customer,53,Business travel,Business,577,3,3,3,3,2,4,5,3,3,3,3,5,3,4,13,8,satisfied
Male,Loyal Customer,49,Business travel,Business,3895,1,1,1,1,4,5,4,2,2,2,2,4,2,4,3,0,satisfied
Male,Loyal Customer,31,Personal Travel,Eco,738,3,4,3,4,1,3,2,1,3,4,4,3,4,1,0,0,neutral or dissatisfied
Male,disloyal Customer,37,Business travel,Eco,404,2,2,2,4,5,2,5,5,1,2,3,3,4,5,15,23,neutral or dissatisfied
Male,Loyal Customer,26,Personal Travel,Eco,759,2,5,1,2,1,1,1,1,5,2,5,4,5,1,0,0,neutral or dissatisfied
Female,Loyal Customer,21,Personal Travel,Eco,503,3,4,3,1,4,3,4,4,5,5,5,5,4,4,16,26,neutral or dissatisfied
Female,Loyal Customer,46,Business travel,Business,3874,1,1,1,1,4,3,3,5,5,5,4,3,4,3,312,296,satisfied
Male,Loyal Customer,38,Business travel,Business,2640,5,5,3,5,1,5,4,5,5,5,5,1,5,5,5,0,satisfied
Male,Loyal Customer,66,Personal Travel,Eco,1438,1,3,1,3,2,1,2,2,2,5,2,3,4,2,0,0,neutral or dissatisfied
Female,Loyal Customer,20,Business travel,Business,3577,4,2,2,2,4,4,4,4,1,4,1,1,4,4,0,5,neutral or dissatisfied
Male,disloyal Customer,44,Business travel,Eco,119,1,0,1,4,4,1,4,4,3,4,2,5,1,4,0,0,neutral or dissatisfied
Male,Loyal Customer,66,Personal Travel,Eco,230,2,3,2,2,1,2,1,1,1,4,2,3,3,1,0,0,neutral or dissatisfied
Male,Loyal Customer,37,Personal Travel,Eco,602,1,4,1,1,1,1,1,1,5,2,4,4,4,1,6,0,neutral or dissatisfied
Male,Loyal Customer,50,Business travel,Business,1761,3,3,3,3,4,4,4,4,4,4,4,5,4,4,0,0,satisfied
Female,Loyal Customer,49,Business travel,Business,2497,2,2,2,2,4,3,3,2,2,2,2,1,2,1,0,0,neutral or dissatisfied
Male,Loyal Customer,42,Business travel,Business,3067,4,4,4,4,2,4,5,5,5,4,5,5,5,4,0,0,satisfied
Female,Loyal Customer,31,Business travel,Business,719,2,3,5,5,2,2,2,2,2,4,2,4,2,2,0,0,neutral or dissatisfied
Male,disloyal Customer,15,Business travel,Eco,501,4,0,4,2,3,4,2,3,3,4,2,5,3,3,0,0,satisfied
Male,Loyal Customer,38,Business travel,Business,861,4,4,4,4,4,5,4,4,4,4,4,3,4,3,1,0,satisfied
Male,Loyal Customer,56,Personal Travel,Eco,1121,2,4,2,5,2,2,2,2,5,5,5,4,4,2,0,0,neutral or dissatisfied
Female,Loyal Customer,15,Personal Travel,Eco,1190,5,5,5,3,3,5,3,3,3,2,5,5,5,3,0,15,satisfied
Female,Loyal Customer,31,Business travel,Business,3413,4,4,2,4,4,4,4,4,3,4,2,1,1,4,0,0,satisfied
Male,Loyal Customer,58,Business travel,Business,549,4,4,4,4,4,5,5,5,5,5,5,4,5,5,0,0,satisfied
Male,disloyal Customer,24,Business travel,Eco,436,4,3,4,3,4,4,5,4,3,3,3,2,4,4,0,0,neutral or dissatisfied
Male,Loyal Customer,38,Business travel,Business,1585,4,4,4,4,4,4,4,4,4,4,4,3,4,5,0,0,satisfied
Male,Loyal Customer,65,Personal Travel,Eco,784,3,4,2,4,5,2,5,5,5,2,4,4,4,5,0,0,neutral or dissatisfied
Female,disloyal Customer,24,Business travel,Eco,271,4,0,4,3,3,4,3,3,5,5,4,5,4,3,0,0,neutral or dissatisfied
Male,Loyal Customer,39,Personal Travel,Eco Plus,1069,0,5,0,4,5,0,5,5,3,3,5,1,5,5,0,0,satisfied
Male,Loyal Customer,14,Personal Travel,Eco,302,1,5,1,1,5,1,4,5,5,2,4,3,5,5,0,0,neutral or dissatisfied
Female,Loyal Customer,31,Business travel,Business,209,3,3,4,3,5,4,3,5,3,5,5,4,3,5,0,0,satisfied
Female,Loyal Customer,15,Business travel,Business,2203,5,4,5,5,5,5,5,5,4,2,4,5,5,5,0,5,satisfied
Male,Loyal Customer,42,Business travel,Business,1847,3,3,3,3,4,4,4,5,5,5,5,4,5,3,11,3,satisfied
Female,Loyal Customer,47,Business travel,Business,358,2,2,2,2,3,4,4,4,4,4,4,4,4,4,0,0,satisfied
Male,Loyal Customer,34,Business travel,Business,2982,3,3,3,3,2,5,5,4,4,4,4,3,4,5,0,4,satisfied
Female,Loyal Customer,50,Personal Travel,Eco,2845,3,0,3,4,1,3,2,3,3,3,5,3,3,3,110,75,neutral or dissatisfied
Female,Loyal Customer,45,Business travel,Business,3343,5,5,5,5,2,5,4,4,4,4,4,3,4,3,27,29,satisfied
Female,Loyal Customer,50,Personal Travel,Business,867,1,4,0,5,5,4,3,1,1,0,1,5,1,3,0,0,neutral or dissatisfied
Female,Loyal Customer,38,Personal Travel,Eco,116,3,1,0,4,1,0,1,1,2,3,3,3,3,1,0,0,neutral or dissatisfied
Female,Loyal Customer,53,Business travel,Business,1530,1,1,1,1,4,5,5,4,4,4,4,4,4,5,16,0,satisfied
Male,Loyal Customer,60,Business travel,Business,2315,1,1,1,1,2,5,5,4,4,4,4,4,4,5,26,23,satisfied
Female,Loyal Customer,46,Business travel,Eco,649,4,5,4,4,1,4,2,4,4,4,4,1,4,2,0,0,satisfied
Female,Loyal Customer,33,Personal Travel,Eco Plus,515,3,5,3,1,3,3,5,3,3,2,5,4,5,3,1,56,neutral or dissatisfied
Male,Loyal Customer,9,Personal Travel,Eco,237,3,4,0,1,2,0,3,2,4,4,5,4,5,2,0,0,neutral or dissatisfied
Male,Loyal Customer,49,Business travel,Business,3377,1,5,5,5,2,3,3,1,1,1,1,3,1,1,0,0,neutral or dissatisfied
Female,Loyal Customer,39,Personal Travel,Eco,765,3,2,3,3,3,5,5,4,3,4,3,5,2,5,433,455,neutral or dissatisfied
Female,disloyal Customer,23,Business travel,Eco,1353,3,3,3,4,4,3,4,4,4,2,4,1,3,4,0,0,neutral or dissatisfied
Female,disloyal Customer,39,Business travel,Business,224,2,2,2,1,5,2,1,5,4,1,4,4,1,5,25,27,satisfied
Female,Loyal Customer,21,Personal Travel,Business,192,1,5,1,1,2,1,2,2,4,2,5,4,4,2,38,33,neutral or dissatisfied
Female,Loyal Customer,45,Personal Travel,Eco,1069,1,4,1,1,5,4,5,4,4,1,4,5,4,3,0,0,neutral or dissatisfied
Male,disloyal Customer,39,Business travel,Business,216,3,3,3,5,1,3,1,1,4,5,2,5,2,1,0,0,neutral or dissatisfied
Female,Loyal Customer,37,Business travel,Eco Plus,255,4,5,3,5,4,4,4,4,2,5,3,4,1,4,8,6,satisfied
Female,disloyal Customer,26,Business travel,Business,247,1,0,1,2,5,1,5,5,4,2,4,5,5,5,0,0,neutral or dissatisfied
Female,Loyal Customer,22,Business travel,Eco,308,3,2,3,3,3,3,1,3,2,5,3,3,4,3,14,12,neutral or dissatisfied
Female,Loyal Customer,57,Business travel,Eco,548,5,5,5,5,2,5,5,5,5,5,5,1,5,4,24,27,satisfied
Male,Loyal Customer,25,Business travel,Business,693,2,2,2,2,2,2,2,2,1,4,3,3,3,2,0,0,neutral or dissatisfied
Female,Loyal Customer,40,Business travel,Business,861,5,5,5,5,3,5,5,5,5,5,5,4,5,4,0,0,satisfied
Male,Loyal Customer,33,Business travel,Business,2844,3,2,2,2,3,3,3,3,3,4,4,4,4,3,0,24,neutral or dissatisfied
Male,Loyal Customer,30,Business travel,Business,1562,3,3,3,3,3,3,3,3,3,2,4,3,3,3,0,0,neutral or dissatisfied
Female,Loyal Customer,45,Business travel,Eco,296,3,5,5,5,2,4,4,3,3,3,3,3,3,1,9,0,neutral or dissatisfied
Male,Loyal Customer,46,Business travel,Business,3150,0,0,0,3,4,4,4,5,5,5,5,4,5,4,0,0,satisfied
Male,Loyal Customer,47,Business travel,Business,1721,3,4,3,4,2,3,4,3,3,3,3,3,3,2,0,0,neutral or dissatisfied
Male,disloyal Customer,22,Business travel,Eco,1249,4,4,4,4,2,4,2,2,5,1,5,4,5,2,0,0,satisfied
Male,Loyal Customer,31,Business travel,Business,2125,1,1,1,1,4,4,4,4,4,3,4,4,5,4,126,122,satisfied
Male,Loyal Customer,65,Business travel,Business,1974,5,5,5,5,3,3,5,5,5,5,5,3,5,4,0,0,satisfied
Female,Loyal Customer,54,Business travel,Business,757,1,1,1,1,2,5,5,3,3,3,3,5,3,5,0,0,satisfied
Male,disloyal Customer,14,Business travel,Eco,787,3,3,3,4,2,3,2,2,3,1,3,3,3,2,106,107,neutral or dissatisfied
Male,Loyal Customer,51,Business travel,Business,3846,3,3,3,3,2,3,3,4,4,4,4,2,4,5,34,71,satisfied
Male,disloyal Customer,24,Business travel,Business,223,4,4,4,3,3,4,3,3,5,5,5,5,4,3,0,9,satisfied
Male,Loyal Customer,57,Business travel,Business,1846,5,5,5,5,3,5,4,4,4,4,4,4,4,5,75,77,satisfied
Female,disloyal Customer,27,Business travel,Business,1379,2,2,2,2,2,2,2,2,4,2,5,3,5,2,3,2,neutral or dissatisfied
Male,Loyal Customer,40,Business travel,Business,1610,5,5,5,5,3,4,5,5,5,5,5,5,5,3,0,0,satisfied
Female,Loyal Customer,16,Business travel,Business,1780,1,1,1,1,2,2,2,2,3,4,5,4,5,2,3,0,satisfied
Male,Loyal Customer,23,Business travel,Business,861,4,2,2,2,4,3,4,4,2,3,3,2,2,4,0,0,neutral or dissatisfied
Female,disloyal Customer,40,Business travel,Business,308,4,5,5,3,2,5,2,2,4,5,3,3,3,2,0,0,neutral or dissatisfied
Female,Loyal Customer,42,Business travel,Business,1464,1,1,1,1,4,4,4,4,4,4,4,4,4,3,0,0,satisfied
Female,Loyal Customer,25,Personal Travel,Eco,927,2,1,2,4,4,2,4,4,4,5,4,4,3,4,0,1,neutral or dissatisfied
Female,Loyal Customer,30,Personal Travel,Eco,1524,3,2,3,2,4,3,4,4,1,1,2,4,3,4,0,0,neutral or dissatisfied
Male,Loyal Customer,45,Personal Travel,Eco,1371,2,5,2,2,5,2,5,5,4,4,5,5,4,5,0,0,neutral or dissatisfied
Male,disloyal Customer,30,Business travel,Eco,187,1,2,1,4,4,1,3,4,2,4,4,2,3,4,21,17,neutral or dissatisfied
Male,Loyal Customer,14,Personal Travel,Eco,337,1,5,1,5,1,2,2,3,3,4,5,2,5,2,117,132,neutral or dissatisfied
Male,disloyal Customer,39,Business travel,Business,491,4,4,4,4,2,4,2,2,4,2,5,4,4,2,0,0,satisfied
Male,Loyal Customer,53,Business travel,Business,3868,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,0,satisfied
Male,Loyal Customer,70,Personal Travel,Eco,802,2,1,2,4,3,2,3,3,3,2,3,4,3,3,0,9,neutral or dissatisfied
Female,Loyal Customer,59,Business travel,Business,888,1,1,1,1,5,4,5,5,5,4,5,3,5,3,0,0,satisfied
Female,disloyal Customer,22,Business travel,Eco Plus,486,1,1,0,3,4,0,3,4,4,5,4,1,4,4,6,0,neutral or dissatisfied
Male,Loyal Customer,28,Personal Travel,Eco,500,2,4,2,1,4,2,5,4,5,3,4,5,4,4,0,0,neutral or dissatisfied
Male,Loyal Customer,42,Business travel,Business,3087,1,1,1,1,1,3,4,4,4,4,4,5,4,5,0,0,satisfied
Female,disloyal Customer,60,Business travel,Business,1438,5,5,5,2,3,5,3,3,4,4,5,3,5,3,44,27,satisfied
Female,Loyal Customer,20,Personal Travel,Eco,337,3,5,3,3,4,3,4,4,3,3,4,5,4,4,0,2,neutral or dissatisfied
Male,Loyal Customer,71,Business travel,Eco,280,4,2,2,2,3,4,3,3,4,3,4,1,2,3,0,0,satisfied
Male,Loyal Customer,38,Business travel,Business,1750,1,1,1,1,4,4,5,4,4,4,4,4,4,5,3,0,satisfied
Male,Loyal Customer,27,Personal Travel,Eco,296,2,4,2,3,2,2,2,2,4,5,4,4,5,2,20,15,neutral or dissatisfied
Male,Loyal Customer,56,Business travel,Business,3131,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,0,satisfied
Male,Loyal Customer,25,Personal Travel,Eco,1849,4,4,4,5,5,4,5,5,5,5,1,1,3,5,0,0,neutral or dissatisfied
Female,Loyal Customer,12,Business travel,Business,3496,4,4,5,4,4,4,4,4,3,5,4,3,4,4,0,0,satisfied
Male,Loyal Customer,45,Business travel,Business,854,3,3,3,3,3,3,3,5,5,5,5,2,5,3,7,0,satisfied
Male,Loyal Customer,63,Business travel,Business,1843,5,5,4,5,2,5,5,3,3,5,3,4,3,2,21,35,satisfied
Male,disloyal Customer,56,Business travel,Eco,1009,4,4,4,3,2,4,2,2,4,2,4,4,4,2,100,79,neutral or dissatisfied
Male,Loyal Customer,51,Business travel,Eco Plus,326,3,1,1,1,3,3,3,3,1,5,3,4,3,3,15,13,neutral or dissatisfied
Male,Loyal Customer,44,Business travel,Business,2630,3,2,2,2,1,3,4,3,3,2,3,3,3,1,20,36,neutral or dissatisfied
Male,disloyal Customer,27,Business travel,Eco Plus,109,2,2,2,4,2,2,2,2,2,4,3,5,4,2,0,0,neutral or dissatisfied
Male,Loyal Customer,53,Business travel,Business,399,2,2,2,2,5,5,5,5,5,5,5,5,5,3,29,41,satisfied
Female,Loyal Customer,57,Personal Travel,Eco,678,1,4,1,3,5,4,4,2,2,1,3,3,2,4,18,13,neutral or dissatisfied
Male,disloyal Customer,26,Business travel,Business,510,4,4,4,3,4,4,2,4,4,3,5,5,4,4,14,0,satisfied
Female,Loyal Customer,39,Business travel,Business,1657,5,5,5,5,3,4,5,4,4,4,4,3,4,5,19,13,satisfied
Male,Loyal Customer,56,Business travel,Business,3068,1,1,1,1,5,4,5,5,5,5,5,3,5,5,1,0,satisfied
Male,disloyal Customer,21,Business travel,Eco,483,2,4,2,3,1,2,1,1,1,5,4,3,3,1,32,64,neutral or dissatisfied
Male,Loyal Customer,15,Personal Travel,Eco,209,3,2,0,2,4,0,4,4,4,3,2,2,2,4,0,0,neutral or dissatisfied
Female,Loyal Customer,46,Business travel,Business,1916,5,5,5,5,3,3,4,4,4,4,4,5,4,3,2,0,satisfied
Male,Loyal Customer,43,Business travel,Business,3742,1,1,1,1,1,3,5,3,3,4,3,5,3,4,0,0,satisfied
Female,Loyal Customer,44,Business travel,Business,2495,5,5,5,5,4,4,1,4,4,4,4,3,4,5,0,0,satisfied
Male,Loyal Customer,23,Business travel,Business,733,2,2,2,2,5,5,5,5,3,1,4,1,1,5,67,35,satisfied
Female,Loyal Customer,14,Personal Travel,Eco,420,3,2,3,3,2,3,2,2,3,2,4,3,4,2,5,0,neutral or dissatisfied
Female,Loyal Customer,65,Business travel,Business,3891,3,3,5,3,4,3,3,5,5,5,5,1,5,4,0,0,satisfied
Female,Loyal Customer,23,Business travel,Eco Plus,351,3,2,2,2,3,2,4,3,2,2,4,3,3,3,0,67,neutral or dissatisfied
Male,Loyal Customer,67,Business travel,Business,1558,1,2,2,2,4,1,2,2,2,3,1,3,2,4,12,4,neutral or dissatisfied
Female,disloyal Customer,39,Business travel,Eco,114,3,3,3,3,4,3,5,4,3,2,4,4,5,4,6,0,neutral or dissatisfied
Male,Loyal Customer,46,Business travel,Eco Plus,351,3,3,3,3,3,3,3,3,4,2,3,4,3,3,0,0,neutral or dissatisfied
Female,Loyal Customer,57,Personal Travel,Eco,785,4,4,4,3,4,5,4,4,4,4,4,5,4,4,0,7,neutral or dissatisfied
Male,Loyal Customer,40,Business travel,Business,248,0,0,0,3,3,4,4,5,5,5,5,5,5,4,0,1,satisfied
Female,Loyal Customer,50,Business travel,Business,109,5,5,5,5,4,2,2,4,4,4,5,1,4,5,0,21,satisfied
Male,Loyal Customer,41,Business travel,Eco,488,5,3,3,3,5,5,5,5,5,4,3,1,3,5,0,0,satisfied
Female,Loyal Customer,14,Business travel,Eco Plus,696,1,5,5,5,1,1,3,1,3,5,3,3,3,1,50,51,neutral or dissatisfied
Female,Loyal Customer,10,Personal Travel,Eco,515,2,4,4,3,4,4,4,4,4,5,5,5,4,4,0,14,neutral or dissatisfied
Female,Loyal Customer,36,Business travel,Business,1299,4,4,4,4,4,5,5,5,5,5,5,3,5,3,0,4,satisfied
Female,Loyal Customer,28,Personal Travel,Eco,2565,1,5,1,1,1,5,5,1,4,3,1,5,3,5,4,0,neutral or dissatisfied
Female,Loyal Customer,39,Business travel,Business,305,0,0,0,5,5,4,5,3,3,3,3,5,3,4,8,1,satisfied
Male,Loyal Customer,45,Business travel,Eco,373,2,4,4,4,2,2,2,2,3,5,2,3,2,2,0,13,satisfied
Female,disloyal Customer,44,Business travel,Business,257,3,3,3,3,4,3,4,4,4,3,4,4,3,4,20,7,neutral or dissatisfied
Male,Loyal Customer,51,Personal Travel,Eco,296,1,4,4,3,5,4,5,5,3,5,4,5,5,5,0,0,neutral or dissatisfied
Male,disloyal Customer,24,Business travel,Eco,1005,3,4,4,3,3,4,5,3,3,3,3,3,3,3,54,35,neutral or dissatisfied
Female,Loyal Customer,63,Personal Travel,Eco,735,1,1,1,4,5,4,3,1,1,1,1,4,1,1,11,8,neutral or dissatisfied
Female,Loyal Customer,43,Business travel,Business,1618,4,4,4,4,4,5,5,4,4,4,4,4,4,5,0,0,satisfied
Male,Loyal Customer,25,Personal Travel,Eco,416,2,3,2,3,2,2,2,2,3,2,3,1,5,2,42,45,neutral or dissatisfied
Male,Loyal Customer,65,Business travel,Business,3969,0,0,0,2,4,4,4,2,2,2,2,4,2,3,2,5,satisfied
Male,Loyal Customer,38,Personal Travel,Eco,591,4,2,4,3,5,4,2,5,3,1,3,3,4,5,1,0,satisfied
Female,disloyal Customer,27,Business travel,Eco Plus,196,2,3,3,4,4,3,2,4,2,1,4,4,3,4,0,0,neutral or dissatisfied
Male,Loyal Customer,46,Business travel,Business,1901,5,5,5,5,1,1,4,5,5,5,5,3,5,5,22,25,satisfied
Female,Loyal Customer,57,Personal Travel,Eco,2329,2,5,2,1,4,4,4,5,5,2,5,2,5,5,2,0,neutral or dissatisfied
Female,Loyal Customer,60,Business travel,Business,486,1,1,2,1,4,4,5,4,4,4,4,5,4,3,1,0,satisfied
Female,Loyal Customer,28,Business travel,Business,2137,5,5,4,5,4,4,4,4,1,1,5,1,4,4,0,0,satisfied
Male,Loyal Customer,9,Business travel,Eco Plus,2565,2,3,3,3,2,3,2,2,2,5,2,3,3,2,108,99,neutral or dissatisfied
Male,disloyal Customer,24,Business travel,Business,1598,4,5,4,3,1,4,1,1,5,2,4,4,5,1,2,0,satisfied
